Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
973000,2,1.0,1,2,6120.18,890,1953,3.0,nan,nan,nan,False,True,True,True,112 HOLLAND ST,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/East-Palo-Alto/112-Holland-St-94303/home/1967893
2430000,3,1.0,1,2,6198.588000000001,1530,1950,7.666666666666667,21,29,61,True,True,False,True,1004 GREENWOOD DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1004-Greenwood-Dr-94025/home/1974021
2340000,4,3.0,1,0,6198.588000000001,2015,1940,7.666666666666667,39,35,73,True,False,False,True,1020 BERKELEY AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENTIAL,nan,https://www.redfin.com/CA/Menlo-Park/1020-Berkeley-Ave-94025/home/1974412
3062000,2,2.0,1,2,5000.688,1447,1968,nan,nan,nan,nan,True,True,False,True,2113 MILLS AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/2113-Mills-Ave-94025/home/1988680
4198000,4,3.5,2,2,5501.628,2475,2021,nan,48,20,74,True,True,True,True,920 CLOUD AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/920-Cloud-Ave-94025/home/1992138
1500000,3,2.0,1,2,7501.031999999999,1290,2008,7.666666666666667,67,37,79,False,True,True,False,2160 MENALTO AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/2160-Menalto-Ave-94025/home/1995797
1725000,3,2.0,1,1,5998.2119999999995,1270,1947,nan,nan,nan,nan,True,True,False,True,521 7TH AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/521-Seventh-Ave-94025/home/1999502
2200000,3,2.0,1,1,5427.576,1252,1950,nan,nan,nan,nan,True,True,True,True,843 14TH AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/843-Fourteenth-Ave-94025/home/2002165
1452000,4,3.0,1,1,5850.108,1440,1952,nan,44,33,79,True,True,False,True,320 TERMINAL AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/320-Terminal-Ave-94025/home/2002172
1525000,2,1.0,1,1,3314.916,780,1956,nan,nan,nan,nan,True,True,True,True,608 9TH AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/608-9th-Ave-94025/home/2006004
4800000,4,4.0,2,2,5998.2119999999995,2575,1954,nan,nan,nan,nan,True,True,True,True,2150 MILLS AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2150-Mills-Ave-94025/home/2009639
880000,4,1.0,1,0,6276.996,960,1944,3.0,nan,nan,nan,False,True,False,True,1036 ALBERNI ST,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/East-Palo-Alto/1036-Alberni-St-94303/home/2011854
2100916,2,1.0,1,1,6050.4839999999995,1500,1950,7.666666666666667,73,37,83,True,True,False,False,916 LAUREL AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/916-Laurel-Ave-94025/home/2011865
